file_name,text
0.png,circle|quantitative|Median Income|quantitative|Time
1.png,line|temporal|Factors Affecting Student Performance In Standardized Testing|quantitative|Retail Sales
2.png,bar|nominal|Software Updates|quantitative|Internet Usage
3.png,bar|nominal|Coefficient Of Variation In Agricultural Yields Over Different Seasons|quantitative|Average Daily Energy Consumption (kWh) by Appliance Type
4.png,circle|quantitative|Median Household Income Indexed By Regional Inflation Rates|quantitative|Detrended Analysis Of Yearly Weather Anomalies In Temperature Data
5.png,line|temporal|Hospital Admissions|quantitative|Bond Yield
6.png,bar|nominal|Savings Rate|quantitative|Cost
7.png,line|temporal|Adjusted R Squared For Linear Regression Model With Heteroscedasticity|quantitative|Migration Rate
8.png,line|temporal|Effectiveness Of Intervention Programs On Youth Crime Rates|quantitative|Life Expectancy
9.png,bar|nominal|Software Updates|quantitative|Sensitivity Analysis Of Forecast Accuracy In Consumer Demand Models
10.png,line|temporal|Loan Amount|quantitative|Stress Level
11.png,circle|quantitative|Exercise Frequency|quantitative|Life Expectancy
12.png,bar|nominal|Temporal Trend Analysis Of Gross Domestic Product Over Thirty Years|quantitative|Factors Affecting Student Performance In Standardized Testing
13.png,circle|quantitative|Happiness Index|quantitative|Wholesale Price
14.png,bar|nominal|Fuel Consumption|quantitative|Poverty Rate
15.png,line|temporal|Outlier Detection Methods In Sales Data For Anomalies|quantitative|Return Rate
16.png,line|temporal|Mental Health|quantitative|Currency Exchange
17.png,line|temporal|Fuel Consumption|quantitative|Birth Rate
18.png,bar|nominal|Interquartile Range Of Daily Temperature Fluctuations Over A Year|quantitative|Median Household Income Indexed By Regional Inflation Rates
19.png,bar|nominal|Smoking Rate|quantitative|Probability Density Function for Reaction Time (seconds)
20.png,line|temporal|Customer Reviews|quantitative|Percentile Rank Of Student Achievement Scores In National Exams
21.png,bar|nominal|Comparison Of Median Income Between Urban And Rural Areas|quantitative|Education Level
22.png,circle|quantitative|Inflation|quantitative|Distance
23.png,circle|quantitative|Median Household Income Indexed By Regional Inflation Rates|quantitative|Mean Age
24.png,line|temporal|Population|quantitative|Hospital Admissions
25.png,line|temporal|Wholesale Price|quantitative|Stress Level
26.png,line|temporal|Revenue|quantitative|Growth Rate
27.png,bar|nominal|Sleep Duration|quantitative|Health Index
28.png,line|temporal|Standard Deviation|quantitative|Investment
29.png,circle|quantitative|Mortgage Rates|quantitative|Proportion of Respondents Supporting Policy Change by Country
30.png,circle|quantitative|Median Income|quantitative|Loan Amount
31.png,circle|quantitative|Health Index|quantitative|Mobile Phone Usage
