file_name,text
16600.png,"bar|quantitative|Discrepancy in expenditure estimate of GDP (constant LCU)|nominal|Country"
16558.png,"bar|quantitative|Success rate(as % of new cases)|temporal|Year"
32976.png,"bar|temporal|Year|quantitative|Unemployed females(% of female labor force ages 15-24)"
32030.png,"bar|nominal|Country|quantitative|Debt(current US$)"
21386.png,"line|temporal|Year|quantitative|Cost of computers, communications and other services (% of commerical service exports)"
31796.png,"bar|nominal|Country|quantitative|Cereal Production (hectares)"
33163.png,"bar|nominal|Country|quantitative|% of population"
16186.png,"bar|quantitative|Proportion of dependents per 100 working-age population|temporal|Year"
16594.png,"bar|quantitative|Population in urban agglomerations (in %)|temporal|Year"
4698.png,"circle|temporal|Year|quantitative|Workers(% of females employed)"
15752.png,"bar|quantitative|Debt(% of exports of goods, services and primary income)|nominal|Country"
32706.png,"bar|temporal|Year|quantitative|Number of days"
16413.png,"bar|quantitative|Land (in sq. km)|temporal|Year"
5107.png,"circle|temporal|Year|quantitative|Secondary income (in US$)"
22257.png,"line|temporal|Year|quantitative|Total reserves (current US$)"
15319.png,"bar|quantitative|Unemployed laborers (% of total labor force)|temporal|Year"
33194.png,"bar|temporal|Year|quantitative|% of women ages 15-49"
22158.png,"line|temporal|Year|quantitative|Unemployed females (as % of female labor force)"
15048.png,"bar|quantitative|Vulnerable male employment (% of total male employment)|temporal|Year"
21788.png,"line|temporal|Year|quantitative|Domestic credit (% of GDP)"
16726.png,"bar|quantitative|CO2 emissions (in kt)|nominal|Country"
21292.png,"line|temporal|Year|quantitative|Rating (1=most business-friendly regulations)"
32177.png,"bar|temporal|Year|quantitative|Survival rate(%)"
15071.png,"bar|quantitative|Unemployed laborers (% of total labor force)|temporal|Year"
15008.png,"bar|quantitative|Total Vulnerable employment (% of total employment)|nominal|Country"
16463.png,"bar|quantitative|Number of procedures to build a warehouse|temporal|Year"
15166.png,"bar|quantitative|% of fertilizer production|temporal|Year"
33269.png,"bar|nominal|Country|quantitative|Amount in kilograms"
32220.png,"bar|temporal|Year|quantitative|Investment (in US$)"
